id,name,area,experience,key_skills,description
128864444,Data Analyst,Москва,От 1 года до 3 лет,,"Мы - iGaming-компания нового поколения. За 1,5 года мы запустили собственную платформу казино, написали уникальную партнёрскую систему, вышли на гео Европы, а сейчас оперируем в 18+ странах. И это только начало! Ведь впереди запуск новых брендов и создание собственной экосистемы в нише. Всё делаем инхаус - от продукта до аналитики.Сейчас мы ищем Data/Product Analyst, который поможет выстроить data driven подход в принятии решений. Нужно провести аудит и cтандартизировать отчетность в BI системе, проводить А/Б тесты и исследования эффективности функционала и маркетинговых кампаний. У тебя будет возможность строить процессы с нуля и закладывать фундамент под масштабирование компании. Если тебе интересно работать там, где данные влияют на стратегию и рост, а не просто лежат в отчётах - это как раз та самая точка входа.Обязанности:  Строить отчеты в BI (Metabase). Исследовать данные и новый функционал на продукте. Оценивать окупаемость маркетинговых и CRM кампаний. Разрабатывать (прототипировать) витрины данных совместно с DE (PostgreSQL) Понимать бизнес-логику iGaming-продукта.  Общаться с разработкой и DE по вопросам ошибок и аномалий в данных.Наш стек: PostgreSQL, ClickHouse, DBT, Python, Metabase, AWS   Требования:  Опыт в роли аналитика данных/продуктового аналитика в iGaming или других высоконагруженных проектах. Аналитический SQL и Python - уверенно. Любовь к приятной глазу визуализации, которая отвечает на вопросы, а не создает новые. Умение формулировать свои мысли и презентовать результаты своих исследований для разных ролей (стейкхолдеры, разработка, DE) Инициативность и желание делать «как надо», а не «как просят».  Большим плюсом будет опыт внедрения практики А/Б тестирования, предсказательных/antifraud моделей.   Условия:  Полностью удаленная работа Гибкий график, 8 часов в день (часовой пояс GMT+3) 24 календарных дня отпуска Оплачиваемые больничные Быстрый карьерный рост Отсутствие бюрократии Оперативное принятие решений Гибкость в подходах к работе  Значительная автономность, возможность влиять на продукт и высокий потенциал ростаЭтапы отбора:  Собеседование с HR  Сбор рекомендаций и оффер   Собеседование с руководителем   Тестовое задание"
128858730,Senior Data Scientist,Москва,От 3 до 6 лет,"SQL, Python, Soft skills, English, Data Analysis, ML, Statistics, Data Science, Big Data","Мы в поиске специалистов по Data Science уровня Middle+/Senior для совместной работы с нашими консультантами. Подразделение ""Digital"" в структуре ""Яков и Партнёры"" – это ведущие эксперты в области искусственного интеллекта, разработки инновационных цифровых продуктов и стратегий, а также успешной реализации цифровых трансформаций. Ваши навыки будут применяться для всестороннего анализа данных, а также разработки моделей и алгоритмов с целью решения клиентских задач во всех отраслях российской и международной экономики.   Чем вам предстоит заниматься  Вы будете работать в команде, где ваша задача будет заключаться в выявлении оптимальных решений для конкретных проблем клиентов и их реализации, чтобы способствовать устойчивому росту эффективности и достижению ключевых целей организации. В каждом проекте вам предстоит собирать и анализировать данные, разрабатывать и тестировать гипотезы, а также готовить и представлять рекомендации клиенту. Вы будете отвечать за проведение презентаций результатов работы перед руководством клиентских компаний.    Что для нас важно  Отличные коммуникативные навыки, умение добиваться согласованности позиций и принимать решения. Степень бакалавра в области компьютерных наук, инженерии, статистики, математики или аналогичной области Релевантный профессиональный опыт – более 3 лет Владение языками программирования (Python, R) Глубокое понимание статистических методов работы с данными Опыт работы с большими массивами данных и реляционными базами данных (SQL) Опыт работы с MLOps как преимущество Умение представлять аналитическую и техническую информацию в доступной форме Готовность к работе в гибридном формате (Москва)    Мы предлагаем:  Официальное трудоустройство Современный офис в шаговой доступности от м. Белорусская Бонусы за результативность Компенсация занятий спортом Компенсация питания Медицинская страховка, охватывающая широкий спектр медицинских клиник и услуг Корпоративный массажист Всегда свежие фрукты и овощи в офисе Корпоративные развлекательные и образовательные активности"
128861931,Аналитик данных/ Data analyst,Санкт-Петербург,От 3 до 6 лет,,"Проект: Создание единой платформы (шины данных) и интеграций сети ресторанов ТОКИО-CITY Что мы предлагаем:   Гибридный формат работы с гибким началом рабочего дня;   Обучение на любой онлайн платформе за счет компании;   ДМС после 3 месяцев работы;   3 дополнительных оплачиваемых выходных в год;   Занятия корпоративным английским еженедельно;   Занятия спортом: корпоративный волейбол, настольный теннис, йога;   Подарки на день рождения, рождение ребенка и свадьбу;   Подарки за стаж работы в компании;   Ежемесячные корпоративные мероприятия;   Скидку 50% на обеды в ресторанах Токио Сити и Бахрома и карта на скидку 30% в ресторанах франшизы;   Скидку 30% на проживание на базе отдыха у Ладожского озера;   Современный офис в пешей доступности от станций метро Чкаловская/Спортивная/Петроградская;   Уникальную возможность развиваться в команде профессионалов;   Участие в значимых проектах и дружелюбную атмосферу и поддержку коллег.   Ключевые задачи:   Проведение комплексного анализа больших объемов данных, включая статистику, базы данных и данные веб-аналитики (Яндекс.Метрика), с последующей визуализацией в отчетах и дашбордах;   Глубокий анализ и прогнозирование выручки как для сети ресторанов в целом, так и для отдельных направлений (например, доставка) и конкретных позиций меню;   Мониторинг и исследование динамики продаж по различным каналам и периодам. Вы будете отслеживать ключевые метрики: темпы роста, сезонность, оборачиваемость, средний чек и другие;   Выявление скрытых закономерностей, формирование инсайдов и разработка данных гипотез для повышения ключевых бизнес-показателей;   Анализ конкурентной среды и рыночной ситуации для выявления трендов и возможностей для роста;   Работа с данными о клиентах для углубленного понимания их поведения и повышения лояльности.   Мы ждем от тебя:   Опыт работы аналитиком данных от 3 лет;   Уверенное владение SQL для извлечения и первичной обработки данных;   Знание Python (библиотеки для анализа, визуализации и статистики);   Практический опыт решения базовых задач машинного обучения;   Глубокое понимание статистики, в частности, методологии проведения и оценки A/B-тестов;   Опыт построения дашбордов и отчетов в любых BI-инструментах."
128879464,"Junior Data Analyst в Скоринг [Big Data, МТС Веб Сервисы]",Москва,От 1 года до 3 лет,"SQL, Python, Big Data","BIG DATA МТС – место, где телеком данные превращаются в реально работающие IT-продукты. Мы создали и протестировали несколько десятков сервисов. Самые успешные из них уже стали частью экосистемы МТС. Например, МТС Маркетолог, рекомендации в KION (МТС ТВ), услуга “Кто звонит?” или Спам blacklist.   КОГО МЫ ИЩЕМ?   JUNIOR DATA ANALYST В ПРОДУКТ СКОРИНГ   ОПИСАНИЕ ПРОДУКТАBig Data – один из ключевых юнитов МТС. Наши технологии применяются практически во всех направлениях компании - финансы, маркетинг, обслуживание, планирование сети, HR, розница.Команда центра Big Data находится в поиске аналитика в МТС Скоринг.Скоринг - это коммерческий B2B продукт для уменьшения рисков и затрат B2B-клиентов. Скоринг состоит из 2-х направлений: рисковый и антифрод. ЧЕМ ПРЕДСТОИТ ЗАНИМАТЬСЯ  Автоматизировать процесс ретро-скоринга Исследовать данные, создавать прототипы фичей и витрин Настраивать мониторинг прогнозных моделей (в т.ч. формулировать и тестировать гипотезы, проводить исследования) Собирать сэмплы для построения прогнозных моделей Создавать отчеты, в т.ч. ad hoc  ЧТО НУЖНО ДЛЯ ЭТОЙ РАБОТЫ  Знание Python Хороший уверенный SQL (оконные функции, работа с планом запроса) Понимание теории вероятности и математической статистики - Умение оценивать распределения, исследовать данные и зависимости в них, проверять гипотезы  ЧТО ПРЕДЛАГАЕМ  Работу в современной надёжной цифровой компании Достойную заработную плату Agile-культуру: продуктовые команды, Scrum и Kanban, демо-дни, внутренние митапы и таунхоллы Доступ к корпоративной библиотеке Alpina, корпоративному университету МТС и программам развития Отсутствие дресс-кода, гибкий формат работы Комфортный и стильный офис в двух минутах от м. Технопарк Корпоративное кафе «Мечта» и отличный кофе на первом этаже БЦ Специальный тариф на мобильную связь для тебя и близких Предложения от партнёров банка и МТС Заботу о тебе и твоей семье: ДМС со стоматологией, сессиями с психологом и госпитализацией. К ДМС можно подключить детей и родственников. А ещё доступ к телемедицине BestDoctor Поддержку сотрудников: программа материальной помощи в различных жизненных ситуациях"
128877525,Data Scientist/ML - аналитик,Москва,От 3 до 6 лет,,"Группа Компаний Орбита - ведущий разработчик цифровых решений, российская аккредитованная ИТ-компания Масштабный технологический проект с глубокой экспертизой в цифровизации бизнеса. Ключевые отрасли: государственный сектор, FinTech, HR Tech, коммуникации и медиа, услуги, рынок недвижимости, travel. Нам доверяют крупнейшие компании РФ, среди них: Т1, ВТБ, Иннотех, Альфа Банк, ОИС и другие. Более 6 лет мы ведем собственную продуктовую и заказную разработку высокоэффективных цифровых решений. Сейчас мы ищем Data Scientist в Банк ТОП-5.Тебе предстоит:  Заниматься построением моделей чувствительности, склонности к продуктам банка, прогнозирования различных характеристик клиентов Оптимизировать существующие модели банка Тестировать новые источники данных для моделей Генерировать и тестировать гипотезы для улучшения процесса кредитования юридических лиц с помощью моделей Совместно с командами DE, MLOps, мониторинга внедрять модели в промышленные процессы Презентовать бизнесу результаты работы, обсуждать применение моделей  Наши пожелания к кандидатам:  Опыт работы от 3-х лет по направлению  Знание классического ML Опыт построения uplift-моделей или моделей чувствительности Промышленный опыт разработки и внедрения моделей на табличных данных Уверенное владение ML-стеком Python: lightgbm/xgboost/catboost, Scikit-Learn, Pandas, Numpy Умение работать с инструментами Spark, Hadoop, Hive Знание SQL  Будет большим плюсом:  Опыт работы с банковскими продуктами Опыт разработки и внедрения онлайн-моделей Опыт построения рекомендательных систем Опыт работы с NLP и GenAI  Что мы предлагаем:  Удаленный формат работы  Деньги: белую ЗП всегда в рынке, оформление ТК РФ; Комфортный старт: 3 месяца плавного погружения под присмотром HR; Поддержка: ИТ-отсрочку и HR / юридические консультации 24/7; Культура: прозрачные процессы и открытую коммуникацию; Мощное железо: работу на лучших компах, мы не логируем время, у нас фокус на доверии и результате; ДМС: твое лечение за счет компании; Развитие: индивидуальный план обучения, конференции и митапы, мы помогаем развиваться и строить карьеру; Личный бренд: выступления на конференциях, митапах, написание статей; Бенефиты: ежеквартальное обновление корпоративных скидок; Движ: вечеринки оффлайн и онлайн, мерч, конкурсы и челленджи."
128878222,Аналитик данных / Data Analyst,Москва,От 3 до 6 лет,,"Мы ищем инициативного аналитика данных в направление HR&Support, где предстоит работать на стыке данных и бизнес-решений. В этой роли вы станете важной частью команды: будете искать точки роста, формулировать гипотезы, помогать компании развиваться через аналитику и участвовать в формировании аналитической культуры.У нас сильная команда и возможность действительно влиять на решения и изменения!Предстоит:  Сопровождение HR команды по вопросам аналитики, постоянный поиск новых точек роста бизнеса. Организованный процесс по сбору данных для HR. Сопроваждение Support команды по вопросам аналитики, генерация гипотез по улучшению метрик. Поиск инсайтов по улучшению работы Support направления в компании. Помогать команде структурно подходить к решению задачи и принимать решения на основе данных. Создавать систему дашбордов и систему алертингов для наблюдения за отклонениями в метриках. Создавать аналитические инструменты и организовывать аналитические процессы. Работать над культурой экспериментирования и валидации гипотез в компании.  Мы ожидаем:  4+ года опыта работы в роли аналитика Отличное знание SQL и владение Python, в том числе за пределами стандартного аналитического стека. Имеете опыт с одним из популярных BI инструментов: Tableau, PowerBI, Superset Хорошо разбираетесь в статистике. Страсть к систематизации/каталогизации/наведению порядка. Знакомство с принципами ETL и опыт работы с Gitlab и Airflow будут плюсом  Мы предлагаем:  28 календарных дней отпуска. 12 бонусных дней. Оплачиваемые больничные. Оплачиваемое корпоративное обучение."
128861688,Data Engineer/Analyst,Санкт-Петербург,Более 6 лет,"Python, SQL, ETL, DWH, PostgreSQL","Ищем опытного Data Engineer, который возьмёт на себя роль в проектировании, развитии и оптимизации нашей аналитической платформы. Вы будете не просто писать ETL — вы будете формировать архитектуру хранилища данных, внедрять лучшие инженерные практики и помогать команде строить надёжную, масштабируемую и понятную data-инфраструктуру. Ключевые обязанности: - Архитектура и развитие DWH: - Проектирование и эволюция современного хранилища данных (Data Warehouse / Data Mart) с учётом требований бизнеса, аналитики и машинного обучения. - Выбор стратегии моделирования (например, Kimball, Data Vault, или modern approaches типа medallion architecture). - Обеспечение масштабируемости, производительности и управляемости DWH. - Лидерство в использовании dbt: - Полный цикл внедрения и сопровождения dbt— от инициации проекта до продакшена. - Формирование стандартов разработки моделей, документации, тестирования и версионирования. - Интеграция dbt в CI/CD, настройка мониторинга и алертинга. - Наставничество коллег по best practices в dbt и data modeling. - Оркестрация данных через Apache Airflow: - Проектирование и поддержка сложных DAG-ов для оркестрации ETL/ELT-процессов. - Оптимизация производительности, управление зависимостями, восстановление после сбоев. - Внедрение практик наблюдаемости (observability) и управляемости пайплайнов. - Разработка и оптимизация ETL/ELT-процессов: - Создание надёжных, идемпотентных и масштабируемых решений на основе бизнес-требований. - Интеграция разнородных источников (API, базы данных, файлы, потоковые системы). - Разработка и поддержка сложных SQL-запросов с глубокой оптимизацией (CTE, оконные функции, партиционирование, индексы и пр.). - Опыт работы с PostgreSQL - Практический опыт развёртывания, настройки и масштабирования Apache Kafka. - Базовое понимание Spark Streaming или аналогов для обработки потоковых данных. - Опыт проектирования data-решений в облаке (Yandex.Cloud, AWS, GCP или Azure) Требования: - 5+ лет опыта в разработке и поддержке data-инфраструктур. - Подтверждённый опыт построения enterprise-grade DWH с нуля или масштабирования существующих решений. - Экспертное владение dbt, SQL, Python. - Опыт работы с Airflow в production-среде на уровне архитектора или техлида направления. - Способность принимать архитектурные решения, аргументировать их и доносить до команды. - Готовность участвовать в формировании data-культуры: документирование, обучение, внедрение стандартов. Условия: - Полностью удалённая работа. - Дружная, зрелая команда инженеров и аналитиков, ценящих качество и простоту решений. - Возможности профессионального и карьерного роста: участие в стратегических инициативах, влияние на архитектуру продукта, потенциал развития в технического лида или архитектора. - Прозрачные процессы, минимум бюрократии, фокус на результатах. Если вы — инженер, который мыслит системно, любит чистые данные и надёжные архитектуры, и готов делиться экспертизой — давайте знакомиться!"
128866152,Middle Data Scientis/Риск-аналитик,Москва,От 1 года до 3 лет,,"Мы — стабильная, динамично развивающаяся профессиональная коллекторская организация. Наша сила — в экспертной команде и уникальной рабочей атмосфере, где ценят инициативу и профессионализм. Сейчас мы в поисках риск-аналитика. Ключевые задачи:  Оценка по покупке, оценка по взысканию, прогнозам планирования; Отчётность модели по коллекшн скоринг в части лигала; Разрабатывать, внедрять и валидировать ML и Logit модели, предсказывающие риск невозврата займа розничного клиента либо доходность на краткосрочном периоде; Формировать выборки для обучения с помощью SQL скриптов, предобрабатывать данные и формировать фичи; Проводить статистические исследования, искать скрытые закономерности, визуализировать и интерпретировать полученные результаты; Формулировать и проверять гипотезы, участвовать в проведении и оценке A/B-тестов; Предлагать и реализовывать идеи по совершенствованию текущего кредитного процесса; Анализировать внешние источники данных.  Что важно для нас:  Высшее математическое/техническое/экономическое образование (или неоконченное); Знания математики, теории вероятностей, понимание основных классов задач в теории машинного обучения (регрессия, классификация), методов и инструментов Feature Engineering; Опыт разработки и внедрения реальных риск-моделей (будет плюсом); Обязательно владение SQL, Python (библиотеки scikit-learn, matplotlib, seaborn, pandas, numpy и др.); Системное мышление, умение получать, структурировать и систематизировать информацию, четко излагать свои мысли и анализировать результаты; Умение и желание решать нетривиальные задачи анализа данных; Английский язык на уровне чтения тех. документации.  Что мы предлагаем:  Реальный практический опыт в анализе данных; Возможность быстро реализовать любую толковую обоснованную идею; Наличие большего объема исторических данных для анализа и возможность проведения тестов в реальном времени; Сильная и профессиональная команда, отсутствие бюрократии; Приятный современный офис (7 минут от метро Бауманская, Красносельская); Полное соблюдение ТК РФ."
128878068,Data scientist middle на проект AutoML,Москва,От 3 до 6 лет,,"Обязанности:В первую очередь тебе предстоит развивать библиотеку классического моделирования ARTEM(L):• Улучшать стабильность и качество текущих AutoML алгоритмов, оптимизировать код;• Улучшать отчетность и артефакты по полученной модели (отчет по модели с интерпретацией ллм, графики, таблицы);• Обновлять документацию;• Поддерживать пользователей (технически подкованных DS);• Совместно с командой MLOps интегрировать сервис в промышленную среду;• Отвечать за релизный цикл библиотеки;• Проводить ревью пр от других dsТакже предстоит заниматься развитием платформы AlfaPredict для аналитиков:• Отвечать за создание и добавление новых ds-сценариев в платформу (например, моделирование, анализ признаков на целевое событие, очистка данных и т.д.)• Написание технических инструкций для сценариев платформыТребования:• Умение писать код, знание основных паттернов проектирования;• Уверенное владение ML- и DL-стеком Python: Pytorch, lightgbm/xgboost/catboost,Scikit-Learn, Pandas, Numpy;• Умение работать с инструментами Spark, Hadoop, Hive;• Опыт работы с MLFlow;• Опыт работы с AirFlow/ArgoWorkflow• от двух лет опыта в DSБудет большим плюсом:• Контрибьют в ML-библиотеки;• Опыт full-stack разработкиУсловия:• Стабильную работу в одном из крупнейших банков страны• Сильное DS community, большое разнообразие рабочих и внерабочих активностей• Конкурентную заработную плату, соцпакет.• Условия для роста и развития (в т.ч. конференции, тренинги, внутренние программы развития).• Дружный коллектив единомышленников (все специалисты, занимающиеся машинным обучением объединены одним департаментом для максимально плотного и продуктивного обмена знаниями).• Передовой стек технологий, высокопроизводительное оборудование.• Возможность решать разнообразные прикладные задачи с выводом в промышленную эксплуатацию, возможность существенно влиять на результат (в т.ч. в бизнес-смысле) и способы его достижения (вплоть до внесения изменений в архитектуру).• Квартальный бонус по результатам работы;• ДМС, страхование жизни;• корпоративное обучение;"
128879055,Data Scientist (Big Data),Москва,От 3 до 6 лет,,"Привет! Мы - международная iGaming платформа с многолетним опытом в индустрии. Оперируем на всех континентах В нашу молодую и дружную команду ищем Data Scientist В твои задачи будет входить:  Полный цикл: от анализа данных, до внедрения моделей/правил и мониторинга их работы; Глубокий exploratory data analysis (EDA) - исследование распределений данных, поисĸ паттернов, аномалий и слабых сигналов (device fingerprint, ip/geo, device changes, поведение пользователей); Инвентаризация источниĸов данных, mapping полей, gap-анализ,оценка качества и полноты данных; Проеĸтирование и ведение процессов разметĸи: таĸсономия фрода, гайды для аннотаторов, выборĸи, ĸонтроль ĸачества; Прототипирование сигналов и правил, backtest/dry-run анализ ихвлияния на TP/FP и бизнес-метриĸи; Валидация и оффлайн-оценĸа прототипов моделей и правил (baseline models, explainability), подготовĸа результатов для продаĸшн-запусĸа; Интеграция моделей и правил в продуĸт, мониторинг их производительности; Доĸументирование исследований и автоматизация повторяющихся анализов. Сотрудничество с командой backend для интеграции аналитических функций.  Что мы от тебя ожидаем:  Опыт 3-5 лет в DS / DA, желательно в антифроде/финтехе; Уверенное владение Python и основными библиотеĸами для анализа данных и машинного обучения (pandas/polars, scikit-learn, xgboost, tf/torch); Опыт с big data (clickhouse, s3, elasticsearch, kafka); Отличный SQL (сложные запросы, window functions, агрегаты) - нужно для работы с postgres, mysql, clickhouse; Сильное понимание статистиĸи и методов валидации; Навыĸи feature engineering и оценĸи сигналов (importance, stability, drift); Понимание домена (fraud/risk); Умение чётĸо доĸументировать исследования и объяснять результаты non-technical стейкхолдерам; Самостоятельность в постановĸе и проверĸе гипотез, умение влиять на продуĸт.  Что мы можем предложить:  Конкурентоспособная заработная плата; Возможность полностью работать удалённо из любой точки мира; Возможность получать ЗП в разной валюте; Возможность профессионального роста и обучения."
