id,name,area,experience,key_skills,description
128509101,Аналитик данных (Data analyst),Новосибирск,От 1 года до 3 лет,"Аналитическое мышление, SQL, Python, Математическая статистика, Базы данных, Аналитика","Чем предстоит заниматься Если в общем, то выявлять и предотвращать телеком-мошенничество (будешь оказывать прямое влияние как на финансовые показатели компании, так и на счастье её клиентов). Если в частности, то нужно будет не допустить появление на сети оператора нежелательного трафика, а именно:  Исследовать новые виды мошенничества (спам, мошеннические вызовы, действия третьих лиц, наносящие ущерб компании и её абонентам) и разрабатывать под них алгоритмы выявления (полный цикл: от выбора источника данных и построения на его базе модели выявления, до передачи команды на блокировку в систему управления трафиком) Эксплуатировать существующие алгоритмы выявления мошенничества и периодически их дорабатывать (мошенники никогда не стоят на месте) Анализировать существующую отчетность от антифрод-систем и дорабатывать её при необходимости Предоставлять регулярную отчетность для руководства Разрабатывать новые виды отчетов, если это необходимо Также наша работа не обходится без разовых аналитических справок и фиксации итогов во внутренней базе знаний  Что для этого нужно  Высшее образование (техническое, математическое, экономическое) Владение SQL (select’ы, join’ы, подзапросы – этого в большинстве случаев будет достаточно) Владение Python (библиотеки pandas, numpy, cx_Oracle/SQL Alchemy, библиотеки для визуализации данных) Готовность изучить Splunk (выгрузки, агрегации, дэшборды), ClickHouse и PostgreS Владение Excel: сводные таблицы, формулы, диаграммы Любовь к кропотливому анализу данных: сопоставлениям, обобщениям, выводам, гипотезам и критический взгляд на результаты своей работы Большое желание получать новые знания и применять их на практике Внимательность и ответственность: помни, ты будешь оказывать прямое влияние на счастье клиентов компании  Будет плюсом    Прохождение курсов по анализу данных: Яндекс.Практикум, Skillfactory, Karpov Courses и т.п. Знание основных подходов к моделированию и обучению ML-моделей, опыт их внедрения в бизнес-процессы Опыт работы с Jira / Confluence или подобными системами Навыки построения и реализации ETL-процессов Знание принципов работы с BI-системами (Oracle BI, Power BI и т.п.) Знание английского языка: умение читать техническую документацию, а ещё лучше – понимать на слух тех, кто её писал Умение смотреть «за горизонт» - изначальная разработка алгоритмов / моделей / процессов в таком виде, который позволит их подстроить под изменяющиеся реалии с минимальными трудозатратами (ты же помнишь, что мошенники никогда не стоят на месте?)    *работа в офисе г. Новосибирск"
128505990,Business Data Analyst,Москва,От 3 до 6 лет,"SQL, Python, Бизнес-анализ, Финансовые показатели, Математическая статистика, Исследовательский анализ данных, Формирование аналитической отчетности","Чем предстоит заниматься?  Погружение в спортивный мир с точки зрения беттора (ставочника), но через данные: что ему важно и как мы пересекаемся с его нуждами Развитие клиентской, финансовой и продуктовой аналитики в пересечении с запросом бизнеса, в том числе: построение когортной аналитики / расчет юнит экономики / поиск связей игровых поведенческих факторов с экономикой бизнеса Поиск зон роста компании через данные, оптимизацию процессов и предложение альтернатив текущему формат.  Что для нас важно?  Глубокое понимание методологий анализа данных с упором на статистический анализ. Также будет плюсом опыт предиктивного моделирования и машинного обучения Сильные и самостоятельные навыки программирования на SQL и Python Опыт работы с большими данными и сложными структурами данных из разных источников Опыт работы с инструментами визуализации данных, знание Tableau будет плюсом Высокий уровень навыка критического мышления в пересечении с коммуникативными навыками и способностью объяснить простым языком сложные концепции анализа данных​."
128508646,Бизнес-аналитик данных (Business Data Analyst),Москва,От 1 года до 3 лет,"Визуализация данных, Интерпретация данных, Анализ бизнес-процессов, MS Excel, Анализ данных, Аналитическое мышление, Работа с большим объемом информации, SQL, Python, Бизнес-анализ, Работа с базами данных, Power BI","Под брендом Тайрай работают более 80 салонов и более 600 талантливых и энергичных профессионалов. С 2009 года Тайрай создает пространства для отдыха и расслабления. Сегодня Тайрай - один из лидеров рынка SPA-услуг. Чем предстоит заниматься:  Аналитика коммерческой функции (сколько зарабатываем и как зарабатывать больше), утилизации ресурсов, эффективности процессов, качества продукта; Развитие качества данных и аналитики; Разрабатывать и поддерживать отчеты в BI-системе; Участвовать в аналитических проектах, внедряя прогнозную аналитику и улучшая бизнес-процессы; Формировать ценные рекомендации на основе данных.  Команда:Вы будете работать в энергичной, вовлеченной команде, где ценится скорость и практический результат, а ваша внимательность к деталям и глубина анализа станут нашим конкурентным преимуществом.   Кого мы ищем:  Опытного аналитика данных (от 1 года); Уверенного пользователя Python (Pandas, NumPy); Специалиста по SQL и работе с базами данных; Эксперта в создании отчетов и дашбордов (Analytyc Workspace или аналогичные BI-инструменты); Владельца продвинутых навыков MS Excel / Google Sheets.  В Тайрай тебя ждут:  Гибридный график 5/2 с гибким началом дня (с 9:00 или 10:00); Уютный офис в центре Москвы (м. Менделеевская, БЦ ""Мейерхольд""); Современную корпоративную технику; Дружную, профессиональную команду, в которой хочется работать; Реальные возможности для профессионального роста; Приятные бонусы, включая скидки на услуги Тайрай!  Присоединяйся к нашей команде!"
